Run #1	Run #1
Time (s)	Voltage (V)
73.800	3.359
73.850	3.359
73.900	3.359
73.950	3.359
74.000	3.359
74.050	3.354
74.100	3.354
74.150	3.354
74.200	3.354
74.250	3.345
74.300	3.359
74.350	3.359
74.400	3.354
74.450	3.359
74.500	3.359
74.550	3.354
74.600	3.354
74.650	3.359
74.700	3.359
74.750	3.354
74.800	3.359
74.850	3.359
74.900	3.359
74.950	3.359
75.000	3.354
75.050	3.354
75.100	3.359
75.150	3.369
75.200	3.354
75.250	3.359
75.300	3.359
75.350	3.354
75.400	3.359
75.450	3.354
75.500	3.359
75.550	3.359
75.600	3.354
75.650	3.359
75.700	3.354
75.750	3.359
75.800	3.354
75.850	3.354
75.900	3.359
75.950	3.359
76.000	3.354
76.050	3.354
76.100	3.359
76.150	3.359
76.200	3.364
76.250	3.350
76.300	3.354
76.350	3.359
76.400	3.350
76.450	3.359
76.500	3.354
76.550	3.359
76.600	3.354
76.650	3.359
76.700	3.359
76.750	3.364
76.800	3.354
76.850	3.359
76.900	3.354
76.950	3.359
77.000	3.354
77.050	3.359
77.100	3.359
77.150	3.359
77.200	3.359
77.250	3.359
77.300	3.359
77.350	3.359
77.400	3.354
77.450	3.359
77.500	3.354
77.550	3.359
77.600	3.359
77.650	3.359
77.700	3.359
77.750	3.359
77.800	3.359
77.850	3.359
77.900	3.354
77.950	3.359
78.000	3.350
78.050	3.359
78.100	3.354
78.150	3.359
78.200	3.359
78.250	3.359
78.300	3.354
78.350	3.359
78.400	3.359
78.450	3.359
78.500	3.359
78.550	3.359
78.600	3.359
78.650	3.359
78.700	3.359
78.750	3.359
78.800	3.354
78.850	3.359
78.900	3.354
78.950	3.359
79.000	3.354
79.050	3.359
79.100	3.359
79.150	3.359
79.200	3.354
79.250	3.359
79.300	3.359
79.350	3.359
79.400	3.354
79.450	3.354
79.500	3.354
79.550	3.359
79.600	3.354
79.650	3.359
79.700	3.359
79.750	3.359
79.800	3.354
79.850	3.359
79.900	3.354
79.950	3.359
80.000	3.354
80.050	3.359
80.100	3.354
80.150	3.350
80.200	3.354
80.250	3.364
80.300	3.359
80.350	3.359
80.400	3.354
80.450	3.359
80.500	3.354
80.550	3.359
80.600	3.354
80.650	3.359
80.700	3.359
80.750	3.359
80.800	3.354
80.850	3.364
80.900	3.354
80.950	3.359
81.000	3.354
81.050	3.359
81.100	3.354
81.150	3.359
81.200	3.354
81.250	3.359
81.300	3.354
81.350	3.359
81.400	3.354
81.450	3.359
81.500	3.350
81.550	3.359
81.600	3.354
81.650	3.354
81.700	3.359
81.750	3.354
81.800	3.354
81.850	3.359
81.900	3.354
81.950	3.359
82.000	3.354
82.050	3.354
82.100	3.359
82.150	3.359
82.200	3.359
82.250	3.359
